,Brand Name,Ctag,Photo,,Description,Grading,"Ecoring
Grading

",備考(付属品）,Cost(price after Tax),Befor Tax,125% Reference prices,Reserved price(指値),相場/Market price,委託番号,1,2,3,Sales commission,result(after tax),Profit / Loss,Sold,C-tag scan,Buyer,Memo
1,Chanel,C245655,,ターンロック  マトラッセ23  ラムスキン シールあり,Black quilted lambskin flap bag,B,,,"¥294,580","¥267,800","¥334,750","¥350,000",299000,2250000563564,"¥223,000","223,000",,2640,242660,-51920,FALSE,C245655,,
2,Chanel,C272382,,マトラッセリュック レザー ブラック,Black Quilted Lambskin Duma Backpack,B ,,,"¥333,900","¥303,545","¥417,375","¥420,000",,2250000563571,,,,990,,,FALSE,C272382,,
3,Chanel,C212624,,ﾏﾄﾗｯｾ ﾌﾘﾝｼﾞﾁｪｰﾝｼｮﾙﾀﾞｰ,Matrasse Fringe Chain Shoulder Bag,AB,,,"¥121,259","¥110,235","¥137,794","¥220,000",,2250000563588,,,,990,,,FALSE,C212624,,
4,Prada,C275557,,2way ショルダーバッグ,Saffiano leather clutch with bow,BC,,,"¥52,118","¥47,380","¥59,225","¥60,000",,2250000563595,,"21,000",,1540,"21,560",-30558,FALSE,C275557,,Storap bottan is broken
5,Prada,C265047,,2way サフィアーノ ショルダーバッグ ,Bordeaux Saffiano Leather Medium Tote,B,,,"¥77,044","¥70,040","¥87,550","¥90,000",,2250000563601,"¥74,000",,,2640,"78,760",1716,TRUE,C265047,,
6,Louis Vuitton,C285559,,モノグラム　パラス　BB,"Pallas BB, Monogram, Canvas",A,,,"¥132,300","¥120,273","¥150,341","¥150,000",,2250000563618,"¥96,000","97,000",,2640,104060,-28240,FALSE,C285559,,
7,Fendi,C265374,,ヴィンテージ ズッキーノ キャンバス ミニハンドバッグ,Vintage Zucchino Canvas Mini Handbag,Poor,,,"¥17,600","¥16,000","¥20,000","¥45,000",,2250000563625,"¥21,000",,,1540,"21,560",3960,TRUE,C265374,,
8,Fendi,C268507,,ママバケット,Mamma Baguette Black / Brown Velvet,B+,,,"¥79,310","¥72,100","¥90,125","¥110,000",,2250000563632,,,,990,,,FALSE,C268507,,
9,Hermès,C281667,,エルメス　スカーフ,Soleil De Soie Silk Scarf,B+,,,"¥15,730","¥14,300","¥17,875","¥20,000",,2250000563649,"¥15,000","15,000",,1540,14960,-770,FALSE,C281667,,
10,Hermès,C281666,,エルメス　スカーフスカーフ,White Etriers Silk Scarf,B+,,,"¥6,050","¥5,500","¥6,875","¥15,000",,2250000563656,"¥13,000",,,1540,12760,6710,TRUE,C281666,,
