Brand Name,Ctag,Photo,Unnamed: 4,Description,Grading,"Ecoring
Grading

",備考(付属品）,Cost(price after Tax),Befor Tax,125% Reference prices,Reserved price(指値),相場/Market price,委託番号,1,2,3,Sales commission,result(after tax),Profit / Loss,Sold,C-tag scan,Buyer,Memo,tracking number
Chanel,C273710,,"Chanel 復刻トートバッグ キャビアスキン シールあり Made in 1994-1996",Medallion Quilted Caviar Leather Tote Bag,BC,B,,"¥79,310","¥72,100","¥90,125","¥90,000",,2250000445112.0,"¥89,000",,,2640,95260,15950.0,True,C273710,,handle broken,
Chanel,C281766,,"ﾊﾟﾘ限定, ﾁｪｰﾝｼｮﾙﾀﾞｰ黒  ラムスキン",Black Lambskin Chain Shoulder Bag,B,B,,"¥33,000","¥30,000","¥37,500","¥230,000",,2250000445129.0,"¥201,000",,,2640,218460,185460.0,True,C281766,,No sticker,
Chanel,C269413,,CHANEL チェーンミートート ピンク,"Handbag, Leather",B ,AB,,"¥244,860","¥222,600","¥278,250","¥290,000",,2250000445136.0,,"161,000",,2640,174460,-70400.0,False,C269413,,,
Chanel,C277580,,ｼｬﾈﾙ ﾊﾞﾆﾃｨ黒 ｷｬﾋﾞｱ,Black Caviar Leather CC Vanity Case,B+,B,,"¥155,820","¥141,655","¥177,068","¥180,000",,2250000445143.0,"¥122,000","115,000","117,000",2640,"126,060",-29760.0,False,C277580,,,
Chanel,C211772,, ｷｬﾋﾞｱｽｷﾝ 長財布 ﾊﾟｰﾌﾟﾙ 6番台,Purple leather wallet for women,B+,BC,,"¥42,735","¥38,850","¥48,563","¥50,000",,2250000445150.0,"¥23,000","14,000","19,000",1540,"19,360",-23375.0,False,C211772,,,
Louis Vuitton,C247400,,ゲームオン パナム,Monogram Game On Paname Set,AB ,AB,,"¥269,500","¥245,000","¥306,250","¥310,000",,2250000445167.0,"¥231,000","211,000","198,000",2640,215160,-54340.0,False,C247400,,,
Louis Vuitton,C308124,,ヴェルニ モンテーニュBB ローズアンディアン,Montaigne BB Vernis Indian Rose handbag,AB ,AB,,"¥133,340","¥121,218","¥151,523","¥150,000",,2250000445174.0,"¥155,000",,,2640,"167,860",34520.0,True,C308124,,,
Louis Vuitton,C206555,,ルイヴィトン スピーディ30 モノグラムマルチカラー ハンドバッグ,Multicolor Monogram Speedy 30 handbag,B+,AB,,"¥286,000","¥260,000","¥325,000","¥350,000",,2250000445181.0,"¥227,000","218,000","275,000",2640,"299,860",13860.0,True,C206555,,,
Prada,C264889,,プラダ　ナイロン　ショルダーバッグ,Black Nylon Crossbody Shoulder Bag,B,B,,"¥46,000","¥41,818","¥52,273","¥53,000",,2250000445198.0,"¥29,000","25,000","26,000",1540,27060,-18940.0,False,C264889,,,
Prada,C248094,,プラダ　ナイロン　クロスボディバッグ,Nylon Crossbody Bag with Front Pocket,B,B,,"¥29,380","¥26,709","¥33,386","¥35,000",,2250000445204.0,"¥29,000",,,1540,30360,980.0,True,C248094,,,
Louis Vuitton,C279157,,ルイヴィトン　ダミエ ジェロニモス ショルダーバッグ,Damier Ebene Geronimos shoulder bag,B,B,,"¥52,800","¥48,000","¥60,000","¥60,000",,2250000445211.0,"¥46,000","38,000","42,000",1540,44660,-8140.0,False,C279157,,,
Gucci,C280642,,GG ブラック キャンバス トートバッグ,Black GG canvas leather shoulder bag,B,B,,"¥11,330","¥10,300","¥12,875","¥25,000",,2250000445228.0,"¥32,000",,,1540,33660,22330.0,True,C280642,,,
Christian Dior,C278654,,ディオールトロッターポーチ ハンドバッグ,Vintage Trotter Pochette shoulder bag,B,B,,"¥70,400","¥64,000","¥80,000","¥80,000",,2250000445235.0,"¥69,000",,,2640,73260,2860.0,True,C278654,,,
Bottega Veneta,C305425,,ﾊﾞｯｸﾞ ﾎﾞｯﾃｶﾞｳﾞｪﾈﾀ,"Shoulder Bag, Leather",AB ,AB,,"¥79,000","¥71,818","¥89,773","¥90,000",,2250000445242.0,"¥72,000",,,2640,76560,-2440.0,True,C305425,,"gray
I chose to sell it, even though the profit was a little negative because of the GRAY item.
",
Louis Vuitton,C266911,,ルイヴィトン　ディスリクト　メッセンジャーバッグ,Monogram Eclipse Canvas District Messenger Bag,BC,BC,,"¥39,655","¥36,050","¥45,063","¥52,000",,2250000445259.0,,"32,000","33,000",1540,34760,-4895.0,False,C266911,,,
Prada,C248486,,プラダ　サフィアーノ 2WAYハンドバッグ ピンク,Pink Saffiano leather handbag,B,B,,"¥33,990","¥30,900","¥38,625","¥40,000",,2250000445266.0,"¥40,000",,,1540,42460,8470.0,True,C248486,,,
MCM,C259254,,MCM　スタッズ　バックパック,White Small Studs Stark Backpack,B,B,,"¥22,660","¥20,600","¥25,750","¥35,000",,2250000445273.0,"¥25,000",,,1540,25960,3300.0,True,C259254,,,
Louis Vuitton,C309310,,ルイヴィトン 財布　5点セット,Monogram Sarah long wallet collection,BC,F,,"¥22,000","¥20,000","¥25,000","¥25,000",,2250000445280.0,"¥19,000","18,000","14,000",1540,13860,-8140.0,False,C309310,,,
Celine,C264278,,ビンテージ　トリオンフ　長財布,Vintage brown triomphe leather wallet,B,B,,"¥9,152","¥8,320","¥10,400","¥13,000",,2250000445297.0,,"4,000","3,000",990,2310,-6842.0,False,C264278,,,
Fendi,C242212,,FENDI　ズッキーノ ショルダーバッグ,Zucchino Canvas Crossbody Bag,AB ,B,,"¥27,500","¥25,000","¥31,250","¥35,000",,2250000445303.0,"¥25,000","20,000","16,000",1540,16060,-11440.0,False,C242212,,,
Louis Vuitton,C265276,,ルイヴィトン フープピアス,Gold and pink hoop earrings,BC,B,,"¥38,000","¥34,545","¥43,182","¥45,000",,2250000445310.0,,"17,000","16,000",1540,16060,-21940.0,False,C265276,,missing stone,
Gucci,C309219,,グッチ　シマ　財布,"Zippy wallet, Black Guccissima",B,B,,"¥14,300","¥13,000","¥16,250","¥18,000",,2250000445327.0,"¥16,000",,,1540,16060,1760.0,True,C309219,,,
Christian Dior,C225998,,ポーチセット,Black vanity case with star design,AB ,F,,"¥4,320","¥3,927","¥4,909","¥5,500",,2250000445334.0,"¥11,000",,,1540,10560,6240.0,True,C225998,,,
Louis Vuitton,C273073,,モノグラム　長財布,Monogram Canvas Zippy Wallet,AB ,AB,,"¥37,389","¥33,990","¥42,488","¥45,000",,2250000445341.0,"¥33,000","36,000",,1540,"38,060",671.0,True,C273073,,,
Valentino Garavani,C255466,,カモプリント スタッズ　バックパック,Camo print backpack with Rockstud details,B+,B,,"¥47,300","¥43,000","¥53,750","¥53,000",,2250000445358.0,"¥30,000",,"23,000",1540,23760,-23540.0,False,C255466,,,
Louis Vuitton,C239543,,ダミエ ブルームズベリ,Damier Ebene Bloomsbury PM,AB ,AB,,"¥90,640","¥82,400","¥103,000","¥103,000",,2250000445365.0,"¥77,000","80,000","95,000",2640,101860,11220.0,True,C239543,,,
Chanel,C271167,,ラウンドハンドル　チェーンショルダー　レッド　ラムスキン,Red quilted leather shoulder bag,B+,B,,"¥373,890","¥339,900","¥424,875","¥450,000",,2250000445372.0,,"261,000",,2640,284460,-89430.0,False,C271167,,,
Louis Vuitton,C277570,,エピ　スフロ,Epi Soufflot Shoulder Bag in Black,B+,B,,"¥47,300","¥43,000","¥53,750","¥55,000",,2250000445389.0,"¥31,000","31,000",,1540,32560,-14740.0,False,C277570,,,
Yves Saint Laurent,C265375,,YSL ショルダーバッグ,Vintage PVC shoulder bag in black,BC,BC,,"¥11,550","¥10,500","¥13,125","¥21,000",,2250000445396.0,"¥10,000","3,000","4,000",990,3410,-8140.0,False,C265375,,sticky,
Coach,C305283,,シグネチャー　ショルダーバッグ　ブラック,Black signature optic chain shoulder bag,B,B,,"¥2,155","¥1,959","¥2,449","¥5,500",,2250000445402.0,"¥3,000",,,990,2310,155.0,True,C305283,,,
Chanel,C245655,,ターンロック  マトラッセ23  ラムスキン シールあり,Black quilted lambskin flap bag,B,,,"¥294,580","¥267,800","¥334,750","¥350,000",299000.0,2250000563564.0,"¥223,000","223,000",,2640,242660,-51920.0,False,C245655,,,
