No.,Brand Name,Ctag,Photo,,Description,Grading,"Ecoring
Grading

",備考(付属品）,Cost(price after Tax),Befor Tax,125% Reference prices,Reserved price(指値),相場/Market price,委託番号,1,2,3,Sales commission,result(after tax),Profit / Loss,Sold,C-tag scan,Buyer,Memo
1,Chanel,C273710,,"Chanel 復刻トートバッグ キャビアスキン シールあり Made in 1994-1996",Medallion Quilted Caviar Leather Tote Bag,BC,B,,"¥79,310","¥72,100","¥90,125","¥90,000",,2250000445112,"¥89,000",,,2640,95260,15950,TRUE,C273710,,handle broken
2,Chanel,C281766,,"ﾊﾟﾘ限定, ﾁｪｰﾝｼｮﾙﾀﾞｰ黒  ラムスキン",Black Lambskin Chain Shoulder Bag,B,B,,"¥33,000","¥30,000","¥37,500","¥230,000",,2250000445129,"¥201,000",,,2640,218460,185460,TRUE,C281766,,No sticker
3,Chanel,C269413,,CHANEL チェーンミートート ピンク,"Handbag, Leather",B ,AB,,"¥244,860","¥222,600","¥278,250","¥290,000",,2250000445136,,"161,000",,2640,174460,-70400,FALSE,C269413,,
4,Chanel,C277580,,ｼｬﾈﾙ ﾊﾞﾆﾃｨ黒 ｷｬﾋﾞｱ,Black Caviar Leather CC Vanity Case,B+,B,,"¥155,820","¥141,655","¥177,068","¥180,000",,2250000445143,"¥122,000","115,000","117,000",2640,"126,060",-29760,FALSE,C277580,,
5,Chanel,C211772,, ｷｬﾋﾞｱｽｷﾝ 長財布 ﾊﾟｰﾌﾟﾙ 6番台,Purple leather wallet for women,B+,BC,,"¥42,735","¥38,850","¥48,563","¥50,000",,2250000445150,"¥23,000","14,000","19,000",1540,"19,360",-23375,FALSE,C211772,,
6,Louis Vuitton,C247400,,ゲームオン パナム,Monogram Game On Paname Set,AB ,AB,,"¥269,500","¥245,000","¥306,250","¥310,000",,2250000445167,"¥231,000","211,000","198,000",2640,215160,-54340,FALSE,C247400,,
7,Louis Vuitton,C308124,,ヴェルニ モンテーニュBB ローズアンディアン,Montaigne BB Vernis Indian Rose handbag,AB ,AB,,"¥133,340","¥121,218","¥151,523","¥150,000",,2250000445174,"¥155,000",,,2640,"167,860",34520,TRUE,C308124,,
8,Louis Vuitton,C206555,,ルイヴィトン スピーディ30 モノグラムマルチカラー ハンドバッグ,Multicolor Monogram Speedy 30 handbag,B+,AB,,"¥286,000","¥260,000","¥325,000","¥350,000",,2250000445181,"¥227,000","218,000","275,000",2640,"299,860",13860,TRUE,C206555,,
9,Prada,C264889,,プラダ　ナイロン　ショルダーバッグ,Black Nylon Crossbody Shoulder Bag,B,B,,"¥46,000","¥41,818","¥52,273","¥53,000",,2250000445198,"¥29,000","25,000","26,000",1540,27060,-18940,FALSE,C264889,,
10,Prada,C248094,,プラダ　ナイロン　クロスボディバッグ,Nylon Crossbody Bag with Front Pocket,B,B,,"¥29,380","¥26,709","¥33,386","¥35,000",,2250000445204,"¥29,000",,,1540,30360,980,TRUE,C248094,,
11,Louis Vuitton,C279157,,ルイヴィトン　ダミエ ジェロニモス ショルダーバッグ,Damier Ebene Geronimos shoulder bag,B,B,,"¥52,800","¥48,000","¥60,000","¥60,000",,2250000445211,"¥46,000","38,000","42,000",1540,44660,-8140,FALSE,C279157,,
12,Gucci,C280642,,GG ブラック キャンバス トートバッグ,Black GG canvas leather shoulder bag,B,B,,"¥11,330","¥10,300","¥12,875","¥25,000",,2250000445228,"¥32,000",,,1540,33660,22330,TRUE,C280642,,
13,Christian Dior,C278654,,ディオールトロッターポーチ ハンドバッグ,Vintage Trotter Pochette shoulder bag,B,B,,"¥70,400","¥64,000","¥80,000","¥80,000",,2250000445235,"¥69,000",,,2640,73260,2860,TRUE,C278654,,
14,Bottega Veneta,C305425,,ﾊﾞｯｸﾞ ﾎﾞｯﾃｶﾞｳﾞｪﾈﾀ,"Shoulder Bag, Leather",AB ,AB,,"¥79,000","¥71,818","¥89,773","¥90,000",,2250000445242,"¥72,000",,,2640,76560,-2440,TRUE,C305425,,"gray
I chose to sell it, even though the profit was a little negative because of the GRAY item.
"
15,Louis Vuitton,C266911,,ルイヴィトン　ディスリクト　メッセンジャーバッグ,Monogram Eclipse Canvas District Messenger Bag,BC,BC,,"¥39,655","¥36,050","¥45,063","¥52,000",,2250000445259,,"32,000","33,000",1540,34760,-4895,FALSE,C266911,,
16,Prada,C248486,,プラダ　サフィアーノ 2WAYハンドバッグ ピンク,Pink Saffiano leather handbag,B,B,,"¥33,990","¥30,900","¥38,625","¥40,000",,2250000445266,"¥40,000",,,1540,42460,8470,TRUE,C248486,,
17,MCM,C259254,,MCM　スタッズ　バックパック,White Small Studs Stark Backpack,B,B,,"¥22,660","¥20,600","¥25,750","¥35,000",,2250000445273,"¥25,000",,,1540,25960,3300,TRUE,C259254,,
18,Louis Vuitton,C309310,,ルイヴィトン 財布　5点セット,Monogram Sarah long wallet collection,BC,F,,"¥22,000","¥20,000","¥25,000","¥25,000",,2250000445280,"¥19,000","18,000","14,000",1540,13860,-8140,FALSE,C309310,,
19,Celine,C264278,,ビンテージ　トリオンフ　長財布,Vintage brown triomphe leather wallet,B,B,,"¥9,152","¥8,320","¥10,400","¥13,000",,2250000445297,,"4,000","3,000",990,2310,-6842,FALSE,C264278,,
20,Fendi,C242212,,FENDI　ズッキーノ ショルダーバッグ,Zucchino Canvas Crossbody Bag,AB ,B,,"¥27,500","¥25,000","¥31,250","¥35,000",,2250000445303,"¥25,000","20,000","16,000",1540,16060,-11440,FALSE,C242212,,
21,Louis Vuitton,C265276,,ルイヴィトン フープピアス,Gold and pink hoop earrings,BC,B,,"¥38,000","¥34,545","¥43,182","¥45,000",,2250000445310,,"17,000","16,000",1540,16060,-21940,FALSE,C265276,,missing stone
22,Gucci,C309219,,グッチ　シマ　財布,"Zippy wallet, Black Guccissima",B,B,,"¥14,300","¥13,000","¥16,250","¥18,000",,2250000445327,"¥16,000",,,1540,16060,1760,TRUE,C309219,,
23,Christian Dior,C225998,,ポーチセット,Black vanity case with star design,AB ,F,,"¥4,320","¥3,927","¥4,909","¥5,500",,2250000445334,"¥11,000",,,1540,10560,6240,TRUE,C225998,,
24,Louis Vuitton,C273073,,モノグラム　長財布,Monogram Canvas Zippy Wallet,AB ,AB,,"¥37,389","¥33,990","¥42,488","¥45,000",,2250000445341,"¥33,000","36,000",,1540,"38,060",671,TRUE,C273073,,
25,Valentino Garavani,C255466,,カモプリント スタッズ　バックパック,Camo print backpack with Rockstud details,B+,B,,"¥47,300","¥43,000","¥53,750","¥53,000",,2250000445358,"¥30,000",,"23,000",1540,23760,-23540,FALSE,C255466,,
26,Louis Vuitton,C239543,,ダミエ ブルームズベリ,Damier Ebene Bloomsbury PM,AB ,AB,,"¥90,640","¥82,400","¥103,000","¥103,000",,2250000445365,"¥77,000","80,000","95,000",2640,101860,11220,TRUE,C239543,,
27,Chanel,C271167,,ラウンドハンドル　チェーンショルダー　レッド　ラムスキン,Red quilted leather shoulder bag,B+,B,,"¥373,890","¥339,900","¥424,875","¥450,000",,2250000445372,,"261,000",,2640,284460,-89430,FALSE,C271167,,
28,Louis Vuitton,C277570,,エピ　スフロ,Epi Soufflot Shoulder Bag in Black,B+,B,,"¥47,300","¥43,000","¥53,750","¥55,000",,2250000445389,"¥31,000","31,000",,1540,32560,-14740,FALSE,C277570,,
29,Yves Saint Laurent,C265375,,YSL ショルダーバッグ,Vintage PVC shoulder bag in black,BC,BC,,"¥11,550","¥10,500","¥13,125","¥21,000",,2250000445396,"¥10,000","3,000","4,000",990,3410,-8140,FALSE,C265375,,sticky
30,Coach,C305283,,シグネチャー　ショルダーバッグ　ブラック,Black signature optic chain shoulder bag,B,B,,"¥2,155","¥1,959","¥2,449","¥5,500",,2250000445402,"¥3,000",,,990,2310,155,TRUE,C305283,,
31,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
32,,,,,,,,,,¥0,,,,990,,,,990,,,,,,
33,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
34,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
35,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
36,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
37,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
38,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
39,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
40,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
41,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
42,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
43,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
44,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
45,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
46,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
47,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
48,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
49,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
50,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
51,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
52,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
53,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
54,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
55,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
56,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
57,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
58,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
59,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
60,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
61,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
62,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
63,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
64,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
65,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
66,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
67,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
68,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
69,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
70,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
71,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
72,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
73,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
74,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
75,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
76,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
77,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
78,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
79,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
80,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
81,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
82,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
83,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
84,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
85,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
86,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
87,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
88,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
89,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
90,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
91,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
92,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
93,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
94,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
95,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
96,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
97,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
98,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
99,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
100,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
