Number,Brand Name,Ctag,Photo,,Description,Grading,"Ecoring
Grading

",備考(付属品）,Cost(price after Tax),Befor Tax,125% Reference prices,Reserved price(指値),相場/Market price,委託番号,1,2,3,Sales commission,result(after tax),Profit / Loss,Sold,C-tag scan,Buyer,Memo,tracking number
1,Hermès,C274595,,バーキン30 トゴ ルージュカザック G,Birkin 35 Togo Rouge Kazak G,B+,,,"¥827,090","¥751,900","¥939,875","¥1,100,000",,2250000697788,"¥912,000",,,2640,1000560,173470,TRUE,C274595,,,1977-4520-7365
2,Chanel,C278251,,ミニボーイシャネル15 ベルベット,Boy Bag Mini Velvet Blue,B+ ,,,"¥249,260","¥226,600","¥283,250","¥290,000",,2250000697795,,"161,000",,2640,174460,-74800,FALSE,C278251,,,
3,Chanel,C267440,,チェーントートバッグ　カード有,Black Quilted Leather Tote with Gold Hardware,B+ ,,,"¥316,800","¥288,000","¥360,000","¥370,000",,2250000697801,"¥261,000",,,2640,284460,-32340,FALSE,C267440,,,
4,Louis Vuitton,C254480,,LOUIS VUITTON　ネヴァーフル MM カーフ TOURTERELLE ゴールド モノグラムアンプラント ICチップ ,Monogram Empreinte Neverfull MM Bag,B,,,"¥150,689","¥136,990","¥171,238","¥180,000",,2250000697818,"¥172,000",,,2640,"186,560",35871,TRUE,C254480,,,
5,Prada,C287214,,プラダ   2WAYバッグ,"Crossbody Bag, Nylon",AB,,,"¥73,450","¥66,773","¥83,466","¥90,000",,2250000697825,,"76,000",,2640,"80,960",7510,TRUE,C287214,,,
6,Louis Vuitton,C273978,,ダミエ　ポーチ,Damier Ebene Neverfull Pouch MM,B+,,,"¥33,990","¥30,900","¥38,625","¥38,000",,2250000697832,"¥18,000","21,000",,1540,21560,-12430,FALSE,C273978,,,
7,Louis Vuitton,C307797,,ダミエ トゥルース メイクアップ,"Trousse makeup, Damier ebene, Canvas",B+,,,"¥48,719","¥44,290","¥55,363","¥55,000",,2250000697849,"¥44,000","47,000",,1540,"50,160",1441,TRUE,C307797,,,
8,Louis Vuitton,C232009,,LV  トレヴィGM,Damier Ebene Trevi GM,B,,,"¥113,300","¥103,000","¥128,750","¥128,000",,2250000697856,,"72,000",,2640,"76,560",-36740,FALSE,C232009,,,
9,Michael Kors,C281436,,マイケルコースレザー2WAYショルダーバッ グストラップ・保存袋付き,leather 2-way shoulder bag with strap and dust bag,B+,,,"¥4,532","¥4,120","¥5,150","¥6,000",,2250000697863,"¥3,000","3,000",,990,2310,-2222,FALSE,C281436,,,
10,Coach,C250514,,ｺｰﾁ  ﾄｰﾄﾊﾞｯｸﾞ  ﾅｲﾛﾝ  黒,Black nylon tote with leather trim,B,,,"¥2,200","¥2,000","¥2,500","¥5,000",,2250000697870,"¥6,000",,,990,5610,3410,TRUE,C250514,,,
11,Prada,C263515,,プラダ   キルティング   長財布,Navy Tessuto Quilting Nylon Wallet,B,,,"¥16,995","¥15,450","¥19,313","¥21,000",,2250000697887,"¥12,000","15,000",,1540,14960,-2035,FALSE,C263515,,,
