Number,Brand Name,Ctag,Photo,Description,Grading,Ecoring Grading,備考(付属品）,Cost(price after Tax),Befor Tax,125% Reference prices,Reserved price(指値),相場/Market price,委託番号,1,2,3,Sales commission,result(after tax),Profit / Loss,Sold,C-tag scan,Buyer,Memo
1,Chanel,C239266,,"Handbag, Nylon",,,,26400.0,,,50000.0,,,26000.0,,,1540.0,27060.000000000004,660.0,True,,,
2,Chanel,C209295,,"Tote Bag, Leather",,,card,157080.0,,,200000.0,,,,98000.0,108000.0,2640.0,116160.00000000001,,False,,,
3,Louis Vuitton,C122810,,"Speedy 30, Monogram, Canvas, M41526",,,cadena,72765.0,,,90000.0,,,,46000.0,34000.0,1540.0,35860.0,,False,,,
3,Louis Vuitton,C159307,,"Padlock and key, metal",,,,2000.0,,,,,,,,,,,,False,,,
4,Chanel,C222405,,"Tote bag, Cotton",,,,36256.0,,,70000.0,,,,,26000.0,1540.0,27060.000000000004,,False,,,
5,Chanel,C238926,,"Shoulder Bag, Leather",,,"box, card, dustbag",277585.0,,,330000.0,,,232000.0,232000.0,,2640.0,252560.00000000003,-15785.0,True,,,
6,Chanel,C230335,,"Shoulder Bag, Cotton",,,,266805.0,,,350000.0,,,251000.0,,,2640.0,273460.0,15455.0,True,,,
7,Chanel,C237780,,"Tote bag, Cotton",,,,48590.0,,,80000.0,,,,31000.0,,1540.0,32560.0,,False,,,
8,Gucci,C218954,,"Shoulder Bag, Leather",,,,12705.0,,,45000.0,,,,,,,,,False,,,
9,Chanel,C161070,,"Necklace, Rhinestone, Metal",,,,54912.0,,,85000.0,,,43000.0,,,1540.0,45760.00000000001,,False,,,
10,Valentino,C232015,,"Shoulder Bag, Leather",,,dustbag,41810.0,,,70000.0,,,,26000.0,,1540.0,27060.000000000004,,False,,,
11,Fendi,C245586,,"Crossbody Bag, Plastic",,,,26059.0,,,45000.0,,,,,47400.0,1540.0,50600.00000000001,23441.0,True,,,
12,Prada,C219369,,"Tote Bag, Nylon",,,card,24200.0,,,50000.0,,,26000.0,,,1540.0,27060.000000000004,2860.0,True,,,
13,Prada,C245659,,"Handbag, Nylon",,,cadena,16691.4,,,45000.0,,,,20000.0,,1540.0,20460.0,4208.6,True,,,
14,Louis Vuitton,C238083,,"Handbag, Leather",,,"cadena, dustbag",69300.0,,,90000.0,,,51000.0,,,2640.0,53460.00000000001,,False,,,
15,Chanel,C226050,,"Crossbody Bag, Leather",,,,301378.0,,,350000.0,,,,,151000.0,2640.0,163460.0,,False,,,
16,Louis Vuitton,C238502,,"Crossbody Bag, Plastic",,,,31516.0,,,50000.0,,,26000.0,,,1540.0,27060.000000000004,-4456.0,True,,,
17,Louis Vuitton,C233390,,"Clutch Bag, Plastic",,,dustbag,26059.0,,,40000.0,,,,,11000.0,1540.0,10560.000000000002,,False,,,
18,Balenciaga,C243416,,"Clutch Bag, Cotton",,,"box, dustbag",14300.0,,,35000.0,,,,11000.0,,1540.0,10560.000000000002,-3300.0,True,,,
19,Louis Vuitton,C216578,,"Shoulder Bag, Leather",,,,17325.0,,,40000.0,,,21000.0,,,1540.0,21560.000000000004,4235.0,True,,,
20,Gucci,C209921,,"Handbag, Cotton",,,dustbag,14300.0,,,35000.0,,,,12000.0,,1540.0,11660.000000000002,-2200.0,True,,,
21,Chanel,C225177,,"Tote Bag, Leather",,,,122430.0,,,170000.0,,,110000.0,,,2640.0,118360.00000000001,-4070.0,True,,,
22,Louis Vuitton,C171984,,"Padlock and key, metal",,,,1620.0,,,,,,,,,,,-120.0,True,,,
22,Louis Vuitton,C242743,,"Alma, Monogram, Canvas, M51130",,,cadena,37290.0,,,65000.0,,,34000.0,,,1540.0,35860.0,-2930.0,True,,,
23,Gucci,C219456,,"Agenda Cover, Leather",,,bo-rupen,7150.0,,,20000.0,,,,1000.0,,990.0,110.0,,False,,,
24,Bottega Veneta,C207324,,"Wallet, Leather",,,,3399.0,,,20000.0,,,,7000.0,,990.0,6710.000000000001,3751.0,True,,,
25,Louis Vuitton,C214955,,"Agenda Cover, Leather",,,,22000.0,,,45000.0,,,28000.0,,,1540.0,29260.000000000004,7260.0,True,,,
26,Chanel,C193968,,"Brooch, Coco mark, Gold plated metal",,,,25990.0,,,50000.0,,,26000.0,,,1540.0,27060.000000000004,,False,,,
26,Chanel,C144187,,"Box, paper",,,,540.0,,,,,,,,,,,,False,,,
27,Chanel,C166163,,"Earrings, Faux pearl, Gold plated metal",,,box,72600.0,,,100000.0,,,51000.0,,41000.0,1540.0,43560.00000000001,,False,,,
28,Chanel,C210847,,Accessory,,,box,54384.0,,,75000.0,,,38000.0,38000.0,,1540.0,40260.0,,False,,,
29,Prada,C221748,,Accessory,,,box,22000.0,,,45000.0,,,,,,,,,False,,,
30,Chanel,C213600,,"Wallet, Leather",,,,14040.0,,,40000.0,,,,,3000.0,990.0,2310.0000000000005,,False,,,
31,Louis Vuitton,C220379,,"Wallet, Leather",,,"box, dustbag",31724.0,,,50000.0,,,26000.0,,,1540.0,27060.000000000004,-4664.0,True,,,
32,Bulgari,C257257,,"Choker, Leather and metal",,,,2598.75,,,15000.0,,,3000.0,,,990.0,2310.0000000000005,-288.75,True,,,
33,Hermès,C258943,,"Watch, Clipper, Metal",,,box,39000.0,,,50000.0,,,,36000.0,,1540.0,38060.0,-500.0,True,,,
34,Gucci,C220301,,Accessory,,,box,20591.6,,,40000.0,,,,,,,,,False,,,
35,Gucci,C260027,,"Watch, 5500M, Stainless steel",,,box,10450.0,,,20000.0,,,10000.0,,,990.0,10010.0,-440.0,True,,,
36,Louis Vuitton,C261757,,"Watch, Tambour, SS",,,box,91300.0,,,120000.0,,,,,,,,,False,,,
37,Hermès,C259781,,"Watch, Croisière, Stainless Steel",,,,59290.0,,,70000.0,,,,,,,,,False,,,
38,Cartier,C261494,,"Watch, Must 21, SS",,,,44000.0,,,60000.0,,,43000.0,,,1540.0,45760.00000000001,3960.0,True,,,
39,Hermès,C261512,,"Watch, Clipper Quartz",,,case,30800.0,,,40000.0,,,,,,,,,False,,,
40,Hermès,C261732,,"Watch, Clipper Quartz",,,box case,23100.0,,,42000.0,,,,,,,,,False,,,
41,Roberto cavalli,C214091,,"Sunglasses, Metal",,,case,5291.11,,,10000.0,,,2222.0,1000.0,,990.0,110.0,,False,,,
42,Chanel,C125165,,"Sunglasses, Metal",,,,5665.0,,,20000.0,,,,6000.0,,990.0,5610.000000000001,2035.0,True,,,
43,Fendi,C232664,,"Sunglasses, Plastic",,,,4320.0,,,15000.0,,,5000.0,,,990.0,4510.0,190.0,True,,,
44,Dolce & Gabbana,C229412,,"Sunglasses, Plastic",,,,4851.0,,,13000.0,,,3000.0,,2000.0,990.0,1210.0,,False,,,
45,Chanel,C229413,,"Sunglasses, Plastic",,,,4851.0,,,20000.0,,,,5000.0,,990.0,4510.0,99.0,True,,,
46,Louis Vuitton,C231720,,"Crossbody Bag, Plastic",,,,53251.0,,,70000.0,,,36000.0,36000.0,45000.0,1540.0,47960.00000000001,-4851.0,True,,,
47,Louis Vuitton,C243802,,"Backpack, Leather",,,,48590.0,,,65000.0,,,38000.0,35000.0,,1540.0,36960.0,,False,,,
48,Christian Dior,C244487,,"Shoulder Bag, Cotton",,,,20340.0,,,35000.0,,,,12000.0,,1540.0,11660.000000000002,-8240.0,True,,,
49,Prada,C251885,,Backpack,,,,12430.0,,,34000.0,,,18000.0,,,1540.0,18260.0,5830.0,True,,,
50,Prada,C189066,,"Handbag, Leather",,,cadena nametag,15015.0,,,30000.0,,,22000.0,,,1540.0,22660.000000000004,7645.0,True,,,
51,Louis Vuitton,C228446,,Accessory,,,,1100.0,,,14000.0,,,1000.0,,,990.0,110.0,,False,,,
52,Louis Vuitton,C240675,,"Handbag, Plastic",,,,36036.0,,,45000.0,,,25000.0,,15000.0,1540.0,14960.0,,False,,,
53,Gucci,C189116,,Tote Bag,,,,10395.0,,,25000.0,,,15000.0,,,1540.0,14960.0,4565.0,True,,,
54,Louis Vuitton,C252093,,"Crossbody Bag, Plastic",,,,43054.0,,,65000.0,,,,30000.0,53000.0,2640.0,55660.00000000001,13046.0,True,,,
55,Fendi,C251891,,"Handbag, Plastic",,,strap,1130.0,,,25000.0,,,,7000.0,,990.0,6710.000000000001,6020.0,True,,,
56,Gucci,C252913,,"Tote bag, Plastic",,,,13200.0,,,30000.0,,,,12000.0,,1540.0,11660.000000000002,-1100.0,True,,,
57,Christian Dior,C251036,,"Clutch Bag, Leather",,,,18461.0,,,30000.0,,,,,3000.0,990.0,2310.0000000000005,,False,,,
58,Louis Vuitton,C255550,,"Shoulder Bag, Leather",,,,29458.0,,,50000.0,,,33000.0,,,1540.0,34760.0,5302.0,True,,,
59,Givenchy,C245187,,"Handbag, Leather",,,,12430.0,,,35000.0,,,,12000.0,,1540.0,11660.000000000002,-330.0,True,,,
60,Prada,C226194,,"Handbag, Cotton",,,dustbag,16995.0,,,35000.0,,,,,1000.0,990.0,110.0,,False,,,
61,Valentino,C245752,,"Handbag, Leather",,,,30030.0,,,58000.0,,,31000.0,,,1540.0,32560.0,2530.0,True,,,
62,Louis Vuitton,C253766,,"Tote bag, Plastic",,,,32857.0,,,50000.0,,,26000.0,,,1540.0,27060.000000000004,-3597.0,True,,,
63,Celine,C246534,,"Tote bag, Plastic",,,,15820.0,,,30000.0,,,,7000.0,,990.0,6710.000000000001,-8670.0,True,,,
64,Burberry,C246122,,"Shoulder Bag, Plastic",,,,15015.0,,,30000.0,,,16000.0,,,1540.0,16060.0,1045.0,True,,,
65,Louis Vuitton,C231101,,"Key Case, Leather",,,,9350.0,,,20000.0,,,,,,,,,False,,,
