Number,Brand Name,Ctag,Photo,Description,Grading,Ecoring Grading,備考(付属品）,Cost(price after Tax),Befor Tax,125% Reference prices,Reserved price(指値),相場/Market price,委託番号,1,2,3,Sales commission,result(after tax),Profit / Loss,Sold,C-tag scan,Buyer,Memo
1.0,Chanel,C239363,,"Chain shoulder bag, Chevron Medal Flap Bag",,,card,305800.0,,,320000.0,,,,,,,,46200.0,True,,,broken parts
2.0,Fendi,C245278,,"Handbag, Selleria, Textured leather",,,,27120.0,,,35000.0,,,21000.0,,,1540.0,21560.000000000004,-5560.0,True,,,stains
3.0,Christian Dior,C243573,,"Pouch, Honeycomb, Coated canvas and leather",,,,9900.0,,,12000.0,,,6000.0,,,990.0,5610.000000000001,-4290.0,True,,,repaired with super glue
4.0,Louis Vuitton,C245382,,"Barkeley, Damier azur, Canvas",,,,90640.0,,,50000.0,,,23000.0,23000.0,,1540.0,23760.000000000004,,False,,,handle badly cracks
5.0,Louis Vuitton,C216682,,"Lockit, Monogram transparent",,,,62315.0,,,55000.0,,,35000.0,33000.0,32000.0,1540.0,33660.0,,False,,,"handle crack, painted corner"
6.0,Louis Vuitton,C250513,,Monogram Sabbia Cabas,,,cadena,47300.0,,,45000.0,,,,,,,,2200.0,True,,,broken zipper pull
7.0,Louis Vuitton,C244146,,"Petit Sac Plat, Monogram",,,strap,130900.0,,,135000.0,,,94000.0,90000.0,,2640.0,96360.00000000001,,False,,,broken strap
8.0,Louis Vuitton,C266669,,"Papillon 30, Monogram, Canvas　",,,,22660.0,,,25000.0,,,,7000.0,8000.0,990.0,7810.0,,False,,,missing zipper pull
9.0,Gucci,C284345,,"2 way bag, Interlocking, Leather",,,strap,34320.0,,,40000.0,,,23000.0,23000.0,25000.0,1540.0,25960.000000000004,,False,,,"corner scuffed, darkening"
10.0,Gucci,C245681,,"Shoulder bag, Guccissima, Textured leather",,,,33990.0,,,35000.0,,,16000.0,18000.0,20000.0,1540.0,20460.0,,False,,,slight crack in strap
11.0,Celine,C247497,,"Handbag, Macadam",,,,20394.0,,,25000.0,,,17000.0,,,1540.0,17160.0,-3234.0,True,,,gray item
12.0,Gucci,C262036,,"Shoulder Bag, Leather",,,,22600.0,,,20000.0,,,10000.0,,,990.0,10010.0,-12590.0,True,,,poederly BC
13.0,Louis Vuitton,C260877,,"Watch, Tambour, SS",,,box,106700.0,,,120000.0,,,,,,,,,False,,,
14.0,Chanel,C266564,,"Chain shoulder bag, Matelasse",,,,181280.0,,,180000.0,,,148000.0,,,2640.0,160160.0,,False,,,painted
15.0,Hermès,C242657,,Twilly ,,,,13200.0,,,13000.0,,,8000.0,,,990.0,7810.0,-5390.0,True,,,no tag
16.0,Chanel,C221143,,"Scarf, Silk",,,,11330.0,,,12000.0,,,7000.0,,,990.0,6710.000000000001,-4620.0,True,,,hole
17.0,Chanel,C240792,,"Earrings, Faux pearl, Gold plated metal",,,box,10800.0,,,10000.0,,,,,,,,-790.0,True,,,peeling BC
18.0,Chanel,C214871,,"Brooch, Coco mark, Gold plated metal",,,box,56100.0,,,60000.0,,,36000.0,33000.0,37000.0,1540.0,39160.0,,False,,,
,Chanel,C142838,,"Box, paper",,,,64.8,,,,,,,,,,,,False,,,
