Number,Brand Name,Ctag,Photo,Description,Grading,Ecoring Grading,備考(付属品）,Cost(price after Tax),Befor Tax,125% Reference prices,Reserved price(指値),相場/Market price,委託番号,1,2,3,Sales commission,result(after tax),Profit / Loss,Sold,C-tag scan,Buyer,Memo
1,Gucci,C309217,,"Zippy wallet, Guccissima, Leather",B,,Box,14300,,,16000,,,14000.0,,,1540.0,13860.000000000002,-440.0,True,C309217,,Gucci　グッチシマ　ロングウォレット
2,Gucci,C264710,,"Handbag, Cotton",AB,,,16995,,,20000,,,,,,,,8965.0,True,C264710,Tomoka,Gucci GGキャンバス ポーチ
3,Prada,C278854,,"Wallet, Leather",B,,,15400,,,16000,,,8000.0,8000,9000.0,990.0,8910.0,,False,C278854,,プラダサフィアーノコインケース 
4,Louis Vuitton,C227557,,"Handbag, Plastic",B,,,132825,,,140000,,,,,66000.0,2640.0,69960.0,,False,C227557,,Louis Vuitton ダミエ ルイヴィトン ダミエ サレヤMM
5,LouisVuitton,C247929,,"Shoulder Bag, Leather",AB,,ダストカバー,150290,,,160000,,,114000.0,120000,119000.0,2640.0,128260.00000000001,,False,C247929,,Louis Vuitton モノグラム アンプラント ポシェット ドゥーブル ジップ
6,Gucci,C267732,,"Clutch Bag, Leather",B,,,45320,,,88000,,,35000.0,,27000.0,1540.0,28160.000000000004,,False,C267732,,マーモントクラッチバッグ
7,Gucci,C256084,,"Key Case, Leather",B+,,Box,17160,,,22000,,,,9000,9000.0,990.0,8910.0,,False,C256084,,Gucci グッチシマ レザー ６連 キーケース
8,CHANEL,C255643,,Note Book,B+,,Box,3850,,,5000,,,,,,,,1760.0,True,C255643,?,CHANEL ラ コレクション ノートブック
9,"Salvatore
Ferragamo",C207849,,"Handbag, Leather",B+,,,19800,,,23000,,,14000.0,17000円で交渉してみてます（カオリ）,8000.0,990.0,7810.0,,False,C207849,,Salvatore Ferragamo パイソン型押しヴァラリボンハンドバッグ
10,Gucci,C307688,,"Bifold wallet, GG marmont, Flora canvas and leather",B,,"Box
ダストカバー

",18304,,,30000,,,18000.0,,,1540.0,18260.0,18260.0,True,C307688,,Gucci　 フローラ リミテッドエディション　ミニ財布        
