Number,Brand Name,Ctag,Photo,Description,Grading,Ecoring Grading,備考(付属品）,Cost(price after Tax),Befor Tax,125% Reference prices,Reserved price(指値),相場/Market price,委託番号,1,2,3,Sales commission,result(after tax),Profit / Loss,Sold,C-tag scan,Buyer,Memo
1,Chanel,C220099,"Runs stiff, Interior powderly","Handbag, Cotton",,,,9720.0,,,20000.0,,,4000.0,6000.0,,990.0,5610.000000000001,-3670.0,True,,,
2,Louis Vuitton,C222578,"B some stains, darkning","Handbag, Plastic",,,strap,98571.0,,,130000.0,,,93000.0,,,2640.0,99660.00000000001,6589.0,True,,,
3,Chanel,C206349,"no seal, used evidence","Backpack, Leather",,,,453200.0,,,500000.0,,,351000.0,351000.0,,2640.0,383460.00000000006,,False,,,
4,Louis Vuitton,C232826,interior pen mark,"Handbag, Cotton",,,,39600.0,,,55000.0,,,,,29000.0,1540.0,30360.000000000004,,False,,,
5,Valextra,C168510,exterior some stains,Handbag,,,"strap, dustcover",94710.0,,,130000.0,,,,,,,,,False,,,
6,Chanel,C162595,interior stains B-,"Chain shoulder bag, Textured leather",,,,407880.0,,,460000.0,,,,280000.0,,2640.0,305360.0,,False,,,
7,Louis Vuitton,C114418,exterior stains,"Rift shoulder bag, Multicolor, Coated canvas",,,,91773.0,,,130000.0,,,,86000.0,,2640.0,91960.00000000001,627.0,True,,,
8,Celine,C241309,Interior deterioration,"Shoulder Bag, Plastic",,,,18480.0,,,30000.0,,,,,,,,,False,,,
9,Chanel,C222405,used evidence,"Tote bag, Cotton",,,,36256.0,,,55000.0,,,,,,,,,False,,,
10,Louis Vuitton,C240287,"pocket peeling, zipper broken","Shoulder Bag, Leather",,,,24200.0,,,45000.0,,,,18000.0,17000.0,1540.0,17160.0,-5500.0,True,,,
11,Chanel,C240298,"crack, peeling","Tote Bag, Nylon",,,,19210.0,,,30000.0,,,,,11000.0,1540.0,10560.000000000002,-7110.0,True,,,
12,Chanel,C226425,repaired zipper pull,Shoulder Bag,,,,248400.0,,,280000.0,,,233000.0,,,2640.0,253660.00000000003,18460.0,True,,,
13,Stella McCartney,C217169,peeled corner,"Shoulder Bag, Leather",,,,18480.0,,,30000.0,,,,,11000.0,1540.0,10560.000000000002,,False,,,
14,Chanel,C223025,,"Tote Bag, Nylon",,,,14729.0,,,30000.0,,,,,,,,,False,,,
15,Chanel,C219152,powderly,"Handbag, Nylon",,,,15015.0,,,30000.0,,,,,,,,,False,,,
16,Fendi,C116260,Lizard,"Handbag, Leather",,,,16500.0,,,25000.0,,,,,,,,13860.0,True,,,
17,Chanel,C219329,scuffed handle,"Tote Bag, Nylon",,,,10395.0,,,30000.0,,,,,11000.0,1540.0,10560.000000000002,605.0,True,,,
18,Louis Vuitton,C218891,"handle darkening, zipper pull deterioration","Handbag, Plastic",,,cadena,21945.0,,,35000.0,,,19000.0,,,1540.0,19360.0,-2585.0,True,,,
19,Chanel,C239259,"powderly, handle peeling","Tote Bag, Nylon",,,,25300.0,,,35000.0,,,,,,,,,False,,,
20,Louis Vuitton,C225721,pocket peeling,"Crossbody Bag, Plastic",,,,34000.0,,,45000.0,,,29000.0,,,1540.0,30360.000000000004,-3640.0,True,,,
21,Chanel,C226357,powderly,"Tote Bag, Nylon",,,,22000.0,,,35000.0,,,,15000.0,,1540.0,14960.0,,False,,,
22,Chanel,C145191,Oxidation,"Chain shoulder bag, Matelasse, Leather, Paris limited",,,,243100.0,,,280000.0,,,,154000.0,141000.0,2640.0,152460.0,,False,,,
23,Chanel,C216780,,"Shoulder Bag, Leather",,,,147290.0,,,180000.0,,,,,,,,48510.0,True,,,
24,Louis Vuitton,C168599,handle stains,"Speedy 40, Monogram, Canvas,M41522",,,,23600.0,,,38000.0,,,,,,,,19960.0,True,,,
,Louis Vuitton,C171955,,"Padlock and key, metal",,,,2160.0,,,,,,,,,,,,False,,,
25,Fendi,C150234,strap slight cracks,"Shoulder bag, Zucca, Nylon",,,,33176.0,,,45000.0,,,,19000.0,18000.0,1540.0,18260.0,,False,,,
26,Chanel,C167401,B,"Chain belt, Icon line, Gold plated metal",,,,113300.0,,,150000.0,,,,,,,,,False,,,
27,Valentino,C209490,handle with cracks,"Tote Bag, Leather",,,,47586.0,,,60000.0,,,38000.0,,,1540.0,40260.0,,False,,,
28,Chanel,C216938,some stains,"Tote Bag, Nylon",,,,19800.0,,,30000.0,,,16000.0,,,1540.0,16060.0,,False,,,
29,Hermès,C220539,"stain, scuff","Tote bag, Cotton",,,,18080.0,,,25000.0,,,,9000.0,9000.0,990.0,8910.0,,False,,,
30,Louis Vuitton,C209469,"broken pull, corner rub","Handbag, Plastic",,,,31724.0,,,45000.0,,,36000.0,,,1540.0,38060.0,6336.0,True,,,
,Louis Vuitton,C85969,,"Padlock and Key, Metal",,,,1.1,,,,,,,,,,,,False,,,
31,Chanel,C175808,metal ternished,Tote Bag,,,pouch,47460.0,,,60000.0,,,,,,,,,False,,,
32,Chanel,C209295,interior hole,"Tote Bag, Leather",,,card,157080.0,,,190000.0,,,130000.0,,,2640.0,140360.0,,False,,,
33,Chanel,C251536,,"Tote bag, Cotton",,,,48590.0,,,60000.0,,,,,32000.0,1540.0,33660.0,,False,,,
34,Chanel,C218531,"corner scuff, interior stains","Tote Bag, Leather",,,,158620.0,,,190000.0,,,,101000.0,,2640.0,108460.00000000001,,False,,,
35,Chanel,C208587,crack handle,"Tote Bag, Nylon",,,,17325.0,,,30000.0,,,,,,,,,False,,,
36,Chanel,C215774,interior minor wear therwout,"Tote Bag, Leather",,,,59000.0,,,75000.0,,,,46000.0,,1540.0,49060.00000000001,,False,,,
37,Louis Vuitton,C234265,some stains,"Handbag, Plastic",,,,67980.0,,,80000.0,,,,,44000.0,1540.0,46860.00000000001,,False,,,
38,Chanel,C214706,"corner scuff, interior minor wear throwout","Tote Bag, Leather",,,,147290.0,,,190000.0,,,,101000.0,,2640.0,108460.00000000001,,False,,,
39,Louis Vuitton,C213513,sticky handle,"Handbag, Leather",,,,37389.0,,,50000.0,,,,21000.0,,1540.0,21560.000000000004,,False,,,
40,Gucci,C218954,interior deterioration,"Shoulder Bag, Leather",,,,12705.0,,,30000.0,,,,,,,,,False,,,
41,Chanel,C156812,pocket peeling,"Chain shoulder bag, Double flap, Matelasse, Leather",,,,251900.0,,,300000.0,,,181000.0,,,2640.0,196460.00000000003,,False,,,
42,Louis Vuitton,C194476,stains大,"Handbag, Plastic",,,,83842.0,,,120000.0,,,,76000.0,,2640.0,80960.0,-2442.0,True,,,
43,Chanel,C131625,B,"Belt, Croccodile",,,,23100.0,,,45000.0,,,,,,,,,False,,,
44,Chanel,C226218,,Women's Accessory,,,,12100.0,,,20000.0,,,5000.0,3000.0,,990.0,2310.0000000000005,,False,,,
45,Chanel,C161070,B-,"Necklace, Rhinestone, Metal",,,,54912.0,,,80000.0,,,,36000.0,,1540.0,38060.0,,False,,,
46,Chanel,C66583,,"Earrings, Faux pearl, Gold plated metal",,,"box, dustcover",11440.0,,,35000.0,,,,,13000.0,1540.0,12760.000000000002,1760.0,True,,,
47,Chanel,C260438,repair,"Earrings, Faux pearl, Gold plated metal",,,,24860.0,,,40000.0,,,,,,,,4400.0,True,,,
,Chanel,C144188,,"Box, paper",,,,540.0,,,,,,,,,,,,False,,,
48,Chanel,C193968,"scratches, metal tarnished","Brooch, Coco mark, Gold plated metal",,,,25990.0,,,40000.0,,,,19000.0,18000.0,1540.0,18260.0,,False,,,
,Chanel,C144187,,"Box, paper",,,,540.0,,,,,,,,,,,,False,,,
