Number,Brand Name,Ctag,Photo,Description,Grading,Ecoring Grading,備考(付属品）,Cost(price after Tax),Befor Tax,125% Reference prices,Reserved price(指値),相場/Market price,委託番号,1,2,3,Sales commission,result(after tax),Profit / Loss,Sold,C-tag scan,Buyer,Memo
1,Louis Vuitton,C216905,,"Tote bag, Plastic, Neverfull damier",,,,59400.0,,,80000.0,,,41000.0,,41000.0,1540.0,43560.00000000001,,False,,,
2,Louis Vuitton,C232845,,"Card Case, Plastic,Jumbo Sankabul M60530",,,,11550.0,,,25000.0,,,,,,,,1210.0,True,,,
3,Louis Vuitton,C221559,,"Pouch, Plastic",,,,12000.0,,,23000.0,,,,9000.0,,990.0,8910.0,-2650.0,True,,,
4,Louis Vuitton,C214097,,"Tote Bag, Leather, Cabas mezzo",,,,36256.0,,,48000.0,,,33000.0,,,1540.0,34760.0,-1496.0,True,,,
5,Louis Vuitton,C214394,,"Handbag, Leather,Bedford verni",,,,14300.0,,,30000.0,,,,,11000.0,1540.0,10560.000000000002,,False,,,
6,Louis Vuitton,C219481,,"Bifold Wallet, Plastic Monogram",,,,6643.0,,,12000.0,,,3000.0,3000.0,2000.0,990.0,1210.0,,False,,,
7,Louis Vuitton,C233634,,"Shoulder Bag, Plastic,  Randone PM, Monogram",,,,34650.0,,,50000.0,,,21000.0,,26000.0,1540.0,27060.000000000004,,False,,,
8,Gucci,C210601,,GG Sprem tote bag,,,,12584.0,,,25000.0,,,,7000.0,,990.0,6710.000000000001,,False,,,
9,Givenchy,C234852,,"Shoulder Bag, Plastic",,,,4320.0,,,15000.0,,,2000.0,,2000.0,990.0,1210.0,-2670.0,True,,,
10,Celine,C221029,,"Shoulder Bag, Cotton",,,,13596.0,,,28000.0,,,,,6000.0,990.0,5610.000000000001,,False,,,
11,Chanel,C215933,,"Sunglasses, Plastic",,,,13596.0,,,20000.0,,,,5000.0,6500.0,990.0,6160.000000000001,,False,,,
12,Louis Vuitton,C233844,,"Clutch Bag, Compiègne 23, Monogram",,,,36300.0,,,45000.0,,,31000.0,,,1540.0,32560.0,-3740.0,True,,,
13,Chanel,C233964,,"Tote bag, New travel, Nylon",,,,16170.0,,,30000.0,,,11000.0,,,1540.0,10560.000000000002,,False,,,
14,Louis Vuitton,C234906,,"Shoulder Bag, Noe, Monogram",,,,38115.0,,,45000.0,,,31000.0,,,1540.0,32560.0,-1155.0,True,,,
15,Chanel,C221512,,"Wallet, Leather",,,card,16950.0,,,30000.0,,,,13000.0,,1540.0,12760.000000000002,-3750.0,True,,,
16,Gucci,C231050,,"Tote bag, GG supreme, Canvas",,,,14729.0,,,23000.0,,,,,,,,231.0,True,,,
17,Hunting World,C197787,,"Drawstring bag set, Cotton",,,,3300.0,,,8000.0,,,1000.0,,,990.0,110.0,,False,,,
18,DAKS,C218846,,Textiles ひざかけ,,,box,1100.0,,,5000.0,,,,1000.0,,990.0,110.0,-550.0,True,,,
19,Mulberry,C214964,,"Wallet, Leather",,,,3300.0,,,10000.0,,,1000.0,1000.0,1000.0,990.0,110.0,,False,,,
20,Hermès,C162039,,"Towel, Cotton",,,,2200.0,,,8000.0,,,,,,,,,False,,,
21,Gucci,C218966,,"Tote bag, Plastic",,,,38115.0,,,60000.0,,,,,21000.0,1540.0,21560.000000000004,,False,,,
22,Hermès,C215090,,"Agenda, Ostrich",,,,7000.0,,,20000.0,,,3000.0,1000.0,,990.0,110.0,,False,,,
23,Burberry,C222936,,"Tote bag, Plastic",,,,17600.0,,,28000.0,,,15000.0,,,1540.0,14960.0,-2640.0,True,,,
24,Chanel,C217363,,"Shoulder Bag, Mademoiselle Bowling Bag",,,card,51980.0,,,80000.0,,,70000.0,,,2640.0,74360.0,22380.0,True,,,
25,Louis Vuitton,C223391,,"Key Case, Plastic",,,"dustcover, box",17600.0,,,25000.0,,,,10000.0,11000.0,1540.0,10560.000000000002,,False,,,
26,Gucci,C240092,,"watch, crocodile leather",,,ベルト社外品,15000.0,,,30000.0,,,5000.0,6000.0,,990.0,5610.000000000001,,False,,,
27,Miu Miu,C222796,,"Wallet, Leather",,,box,3399.0,,,10000.0,,,1000.0,,1000.0,990.0,110.0,-1749.0,True,,,
28,Christian Dior,C233884,,"Hat, Textile, Sun Visor",,,,4950.0,,,10000.0,,,,2000.0,3000.0,990.0,2310.0000000000005,,False,,,
29,Louis Vuitton,C221789,,"Shoulder Bag, Leather",,,pouch,52800.0,,,80000.0,,,,34000.0,31000.0,1540.0,32560.0,,False,,,
30,Louis Vuitton,C214991,,"Wallet, Leather, Taiga",,,,8250.0,,,15000.0,,,3000.0,6000.0,,990.0,5610.000000000001,-2200.0,True,,,
31,Christian Dior,C221506,,"Handbag, Plastic",,,,23760.0,,,56000.0,,,,,11000.0,1540.0,10560.000000000002,,False,,,
32,Louis Vuitton,C214119,,"Handbag, Leather, keepall",,,strap,50985.0,,,80000.0,,,,38000.0,32000.0,1540.0,33660.0,,False,,,
33,Burberry,C237740,,"Clutch Bag, Nylon",,,,4500.0,,,10000.0,,,1000.0,,1000.0,990.0,110.0,,False,,,
34,Louis Vuitton,C232164,,"Necktie, Silk",,,,4500.0,,,15000.0,,,1000.0,2000.0,3000.0,990.0,2310.0000000000005,,False,,,
35,Gucci,C15848,,Sunglasses,,,case,6480.0,,,10000.0,,,2000.0,3000.0,2000.0,990.0,1210.0,,False,,,
36,Chanel,C225177,,"Tote Bag, Leather",,,,122430.0,,,180000.0,,,,,,,,,False,,,
37,Gucci,C217342,,"Backpack, Leather, Bamboo",,,,27192.0,,,55000.0,,,,21000.0,21000.0,1540.0,21560.000000000004,,False,,,
38,Chanel,C237613,,"Handbag, Leather",,,card　中に商品3点入れた,40788.0,,,60000.0,,,,43000.0,,1540.0,45760.00000000001,5412.0,True,,,
39,Louis Vuitton,C231438,,"Wallet, Leather アンプラントジッピーウォレット",,,,27500.0,,,35000.0,,,,17000.0,11000.0,1540.0,10560.000000000002,,False,,,
40-1,Tiffany & Co.,C72660,,Address book. Leather,,,box,1.1,,,10000.0,,,3500.0,3000.0,4000.0,990.0,3410.0,,False,,,
40-2,Tiffany & Co.,C231351,,Accessory ボールペン,,,,6600.0,,,,,,,,,,,,False,,,
41-1,Louis Vuitton,C13707,,Nail polish ,,,box,9720.0,,,20000.0,,,,,,,,,False,,,
41-2,Louis Vuitton,C13772,,Nail polish,,,box,5940.0,,,,,,,,,,,,False,,,
42,Gucci,C123399,,"Shoulder bag, GG crystal, Coated canvas and leather",,,dustcover,27000.0,,,40000.0,,,,,9000.0,990.0,8910.0,,False,,,
43,Chanel,C226599,,"Tote Bag, Nylon",,,,19635.0,,,30000.0,,,,9000.0,13000.0,1540.0,12760.000000000002,-6435.0,True,,,
44,Fendi,C223144,,"Shoulder Bag, Nylon",,,,28325.0,,,48000.0,,,,18000.0,17000.0,1540.0,17160.0,,False,,,
45,Gucci,C160132,,"Sunglasses, Plastic",,,"box, case",8000.0,,,15000.0,,,3000.0,3000.0,3000.0,990.0,2310.0000000000005,,False,,,
46,Louis Vuitton,C226512,,"Handbag, Plastic　アルマ",,,,27500.0,,,45000.0,,,,,,,,7260.0,True,,,
47,Louis Vuitton,C237510,,"Wallet, Plastic",,,,10450.0,,,20000.0,,,,6000.0,5000.0,990.0,4510.0,,False,,,
48,Fendi,C237324,,"Wallet, Leather",,,,16000.0,,,25000.0,,,,,4000.0,990.0,3410.0,,False,,,
49,Gucci,C232230,,"Crossbody Bag, Cotton",,,,24596.0,,,55000.0,,,,21000.0,,1540.0,21560.000000000004,-2596.0,True,,,
50,Burberry,C113879,,"Handbag, Textured leather",,,,11000.0,,,32000.0,,,,,3000.0,990.0,2310.0000000000005,,False,,,
