Number,Brand Name,Ctag,Photo,Description,Grading,Ecoring Grading,備考(付属品）,Cost(price after Tax),Befor Tax,125% Reference prices,Reserved price(指値),相場/Market price,委託番号,1,2,3,Sales commission,result(after tax),Profit / Loss,Sold,C-tag scan,Buyer,Memo
1,Louis Vuitton,C220936,,Damier Geant Aventurier,,,,45100.0,,,50000,,,,16000.0,30000.0,1540.0,31460.0,-13200.0,True,,,broken handle repaired
2,Louis Vuitton,C216691,,"Neverfull PM, Damier azur",,,,88374.0,,,90000,,,,42000.0,45000.0,1540.0,47960.00000000001,,False,,,"crack , tear strap"
3,Louis Vuitton,C255572,,"Tirsit Waist Bag , Epi",,,,28250.0,,,30000,,,16000.0,25000.0,,1540.0,25960.000000000004,-1850.0,True,,,tear corner
4,Louis Vuitton,C77198,,"Tivoli GM, Monogram Canvas",,,,71500.0,,,80000,,,,35000.0,35000.0,1540.0,36960.0,-34100.0,True,,,"corner scuffed, interior stains BC"
5,Louis Vuitton,C251909,,"Montsouris MM, Monogram, Canvas",,,,58760.0,,,63000,,,,34000.0,,1540.0,35860.0,,False,,,"stains, missing parts"
6,Louis Vuitton,C226336,,"Ultralight Tote Cobalt, Monogram",,,,85800.0,,,90000,,,65000.0,55000.0,,2640.0,57860.00000000001,,False,,,fabric damaged
7,Louis Vuitton,C227742,,"Hampstead PM, Damier azur, Canvas　",,,,58905.0,,,65000,,,,31000.0,,1540.0,32560.0,,False,,,"corner scuffed, stains B-"
8,Louis Vuitton,C241824,,"Tivoli GM, Monogram Canvas",,,,67980.0,,,80000,,,,31000.0,34000.0,1540.0,35860.0,,False,,,corner scuffed B-
9,Louis Vuitton,C219104,,"Neverfull PM, Damier ebene",,,,102795.0,,,105000,,,,,55000.0,2640.0,57860.00000000001,,False,,,"peeled pocket, tear strap"
10,Louis Vuitton,C254093,,"Pochette accessories, Monogram, Canvas",,,,33000.0,,,45000,,,23000.0,31000.0,,1540.0,32560.0,0.0,True,,,tear handle
11,Louis Vuitton,C200897,,"Portefeuille Sarah, Damier Ebene, Canvas, N61734",,,,21527.0,,,23000,,,16000.0,18000.0,,1540.0,18260.0,-2827.0,True,,,BC
12,Louis Vuitton,C216874,,"Portefeuille Sarah, Damier Ebene, Canvas",,,,36256.0,,,40000,,,,14000.0,18000.0,1540.0,18260.0,,False,,,"corner scuffed, B-"
13,Louis Vuitton,C243820,,"Montsouris GM, Monogram, Canvas",,,,62150.0,,,65000,,,41000.0,41000.0,40000.0,1540.0,42460.0,-19250.0,True,,,"lesther stain, some rust B-, strap tear, bottom badly stains"
14,Louis Vuitton,C227747,,"Naviglio, Damier ebene, Canvas",,,,64680.0,,,68000,,,42000.0,,44000.0,1540.0,46860.00000000001,,False,,,
15,Louis Vuitton,C89075,,"Odeon PM, Monogram, Coated canvas　M56390",,,,70400.0,,,72000,,,50000.0,,,2640.0,52360.00000000001,-9240.0,True,,,
16,Louis Vuitton,C238917,,"Neverfull MM, Damier ebene",,,,147290.0,,,150000,,,,,,,,,False,,,"separate strap, interior slight stain"
17,Louis Vuitton,C237943,,"Neverfull MM, Damier azur",,,,101080.0,,,110000,,,,,52000.0,2640.0,54560.00000000001,,False,,,interior stains B-
18,Louis Vuitton,C245390,,"Bucket PM, Monogram, Canvas",,,,41800.0,,,43000,,,30000.0,22000.0,26000.0,1540.0,27060.000000000004,,False,,,handle darkning
