Number,Brand Name,Ctag,Photo,Description,Grading,Ecoring Grading,備考(付属品）,Cost(price after Tax),Befor Tax,125% Reference prices,Reserved price(指値),相場/Market price,委託番号,1,2,3,Sales commission,result(after tax),Profit / Loss,Sold,C-tag scan,Buyer,Memo
1.0,Chanel,C192995,"peeling, powderly","Handbag, Leather",,,"card, strap, cadena",100642.0,,,150000.0,,,,,,,,,False,,,
2.0,Chanel,C230413,animal fur,"Tote Bag, Leather",,,"card, dustcover",139359.0,,,170000.0,,,,,,,,,False,,,
3.0,Fendi,C240003,tear,Tote Bag,,,,17325.0,,,25000.0,,,13000.0,,,1540.0,12760.000000000002,-4565.0,True,,,
4.0,Louis Vuitton,C213032,"discoloration, strap crack","Ipanema, Damier ebene, Canvas",,,,60000.0,,,80000.0,,,,43000.0,35000.0,1540.0,36960.0,,False,,,
5.0,Louis Vuitton,C225351,pocket badly damaged,"Clutch Bag, Plastic",,,,18128.0,,,30000.0,,,16000.0,,,1540.0,16060.0,-2068.0,True,,,
6.0,Louis Vuitton,C234890,some cracks,"Shoulder Bag, Plastic",,,,69300.0,,,80000.0,,,57000.0,48000.0,57000.0,2640.0,60060.00000000001,-7700.0,True,,,
7.0,Louis Vuitton,C223116,leather stains,"Shoulder Bag, Plastic",,,,48719.0,,,70000.0,,,,26000.0,27000.0,1540.0,28160.000000000004,,False,,,
8.0,Louis Vuitton,C226974,,"Footwear Covered, Leather",,,paperbag,12100.0,,,25000.0,,,13000.0,,,1540.0,12760.000000000002,660.0,True,,,
9.0,Chanel,C160855,repaired,"Chain shoulder bag, Matelasse, Leather",,,,237930.0,,,280000.0,,,169000.0,,151000.0,2640.0,163460.0,,False,,,
10.0,Chanel,C239368,使用感有、シワ,"Shoulder Bag, Leather",,,card,309100.0,,,350000.0,,,,233000.0,225000.0,2640.0,244860.00000000003,,False,,,
11.0,Chanel,C197972,"stain, crack","Tote bag, Coco mark, Leather",,,,65714.0,,,90000.0,,,,49000.0,43000.0,1540.0,45760.00000000001,,False,,,
12.0,Salvatore Ferragamo,C232786,"crack, corner scuffed","Handbag, Leather",,,"strap, charm",8250.0,,,30000.0,,,,11000.0,,1540.0,10560.000000000002,2750.0,True,,,
13.0,Chanel,C211749,"interior fabric crash, scratches","Shoulder Bag, Leather",,,,107415.0,,,180000.0,,,109000.0,,,2640.0,117260.00000000001,9845.0,True,,,
14.0,Burberry,C147324,"peeling, corner stains","Tote bag, Nova check, Coated canvas and leather",,,dustbag,24860.0,,,50000.0,,,26000.0,,,1540.0,27060.000000000004,2200.0,True,,,
15.0,Celine,C253446,exterior shiroi yogore,Handbag,,,,3955.0,,,18000.0,,,,5000.0,,990.0,4510.0,995.0,True,,,
16.0,Prada,C237965,broken handle,"Shoulder Bag, Nylon",,,card,11550.0,,,25000.0,,,,2000.0,4000.0,990.0,3410.0,,False,,,
17.0,Louis Vuitton,C233070,"peeled pocket, broken parts","Shoulder Bag, Leather",,,,25720.0,,,50000.0,,,,,13000.0,1540.0,12760.000000000002,-12520.0,True,,,
18.0,Prada,C213667,interior tear,"Handbag, Cotton",,,,35200.0,,,50000.0,,,,,11000.0,1540.0,10560.000000000002,,False,,,
19.0,Salvatore Ferragamo,C189844,"corner scuffed, interior peeling",Shoulder Bag,,,dustbag,6500.0,,,35000.0,,,,,,,,,False,,,
20.0,Louis Vuitton,C238060,"interior sticky, peeling, smell","Handbag, Plastic",,,,34100.0,,,55000.0,,,28000.0,,,1540.0,29260.000000000004,-2640.0,True,,,
21.0,Gucci Plus,C194194,interior damaged,"Shoulder Bag, Plastic",,,,22729.0,,,50000.0,,,,16000.0,,1540.0,16060.0,-6229.0,True,,,
22.0,Yves Saint Laurent,C197482,discoloration,"Clutch bag, Textured leather",,,,27500.0,,,45000.0,,,,,,,,,False,,,
23.0,Louis Vuitton,C223289,"stains, discoloration","Handbag, Leather",,,,15120.0,,,35000.0,,,,,,,,,False,,,
24.0,Louis Vuitton,C209790,broken parts,"Crossbody Bag, Leather",,,,53130.0,,,75000.0,,,,34000.0,36000.0,1540.0,38060.0,,False,,,
25.0,Louis Vuitton,C251413,broken parts,"Handbag, Plastic",,,,44000.0,,,70000.0,,,,37000.0,35000.0,1540.0,36960.0,,False,,,
,Louis Vuitton,C172009,,"Padlock and key, metal",,,,2106.0,,,,,,,,,,,,False,,,
26.0,Marc Jacobs,C241008,python,"Shoulder Bag, Leather",,,strap,6950.0,,,35000.0,,,,,,,,,False,,,
27.0,Yves Saint Laurent,C187066,,"Handbag, Leather",,,"strap, charm",73700.0,,,100000.0,,,,,,,,,False,,,
28.0,Louis Vuitton,C227236,stain corner stain,"Handbag, Plastic",,,,77000.0,,,100000.0,,,52000.0,53000.0,68000.0,2640.0,72160.0,-4400.0,True,,,
