Number,Brand Name,Ctag,Photo,Description,Grading,Ecoring Grading,備考(付属品）,Cost(price after Tax),Befor Tax,125% Reference prices,Reserved price(指値),相場/Market price,委託番号,1,2,3,Sales commission,result(after tax),Profit / Loss,Sold,C-tag scan,Buyer,Memo
1,Gucci,C262624,,"Tote bag, Cotton",,,,10296.0,,,28000.0,,,,,10000.0,990.0,10010.0,154.0,True,,,
2,Louis Vuitton,C262652,,"Wallet, Plastic",,,,4125.0,,,15000.0,,,3000.0,2000.0,3000.0,990.0,2310.0000000000005,-1375.0,True,,,
3,Louis Vuitton,C262639,,"Wallet, Plastic",,,,6325.0,,,13000.0,,,3000.0,2000.0,3000.0,990.0,2310.0000000000005,,False,,,
4,Louis Vuitton,C262638,,"Wallet, Plastic",,,,3025.0,,,13000.0,,,,3000.0,,990.0,2310.0000000000005,-275.0,True,,,
5,Louis Vuitton,C262632,,"Wallet, Plastic",,,,12012.0,,,23000.0,,,,12000.0,,1540.0,11660.000000000002,88.0,True,,,
6,Louis Vuitton,C262637,,"Wallet, Plastic",,,,1925.0,,,11000.0,,,2000.0,2000.0,,990.0,1210.0,-275.0,True,,,
7,Louis Vuitton,C262640,,"Wallet, Plastic",,,,6325.0,,,12000.0,,,3000.0,3000.0,3000.0,990.0,2310.0000000000005,,False,,,
8,Louis Vuitton,C262631,,"Wallet, Plastic",,,,5775.0,,,13000.0,,,4000.0,3000.0,3000.0,990.0,2310.0000000000005,-3025.0,True,,,
9,Chanel,C262636,,Accessory,,,box,10296.0,,,20000.0,,,16000.0,,,1540.0,16060.0,5764.0,True,,,
10,Chanel,C262644,,"Earrings, Faux pearl, Gold plated metal",,,,9724.0,,,20000.0,,,17000.0,,,1540.0,17160.0,7436.0,True,,,
11,Chanel,C262653,,"Earrings, Faux pearl, Gold plated metal",,,,8580.0,,,20000.0,,,17000.0,,,1540.0,17160.0,8580.0,True,,,
12,Chanel,C262646,,"Earrings, Faux pearl, Gold plated metal",,,,6875.0,,,20000.0,,,11000.0,,,1540.0,10560.000000000002,3685.0,True,,,
13,Chanel,C262647,,"Earrings, Faux pearl, Gold plated metal",,,,9724.0,,,20000.0,,,17000.0,,,1540.0,17160.0,7436.0,True,,,
14,Chanel,C262642,,"Earrings, Metal",,,,7436.0,,,15000.0,,,7000.0,,,990.0,6710.000000000001,-726.0,True,,,
15,Chanel,C262645,,"Earrings, Metal",,,,10868.0,,,23000.0,,,12000.0,,,1540.0,11660.000000000002,792.0,True,,,
16,Louis Vuitton,C221789,,"Bucket, Monogram",,,pouch,52800.0,,,66000.0,,,,40000.0,40000.0,1540.0,42460.0,,False,,,
17,Louis Vuitton,C227072,,"Montsouris, Monogram",,,,109901.0,,,130000.0,,,,,86000.0,2640.0,91960.00000000001,,False,,,
18,Louis Vuitton,C234292,,"Bloomsbury, Damier ebene",,,,100485.0,,,120000.0,,,,,76000.0,2640.0,80960.0,,False,,,
19,Louis Vuitton,C234282,,"Amazon, Monogaram",,,,77385.0,,,90000.0,,,71000.0,,,2640.0,75460.0,-1925.0,True,,,
20,Louis Vuitton,C238709,,"Alma, Damier ebene",,,cadena,75911.0,,,90000.0,,,,60000.0,55000.0,2640.0,57860.00000000001,,False,,,
21,Louis Vuitton,C226152,,"Montsouris, Monogram",,,,61182.0,,,85000.0,,,64000.0,,,2640.0,67760.0,6578.0,True,,,
22,Louis Vuitton,C243376,,"Cruiser, Monogram",,,,55000.0,,,70000.0,,,43000.0,,28000.0,1540.0,29260.000000000004,,False,,,
