Number,Brand Name,Ctag,Photo,Description,Grading,Ecoring Grading,備考(付属品）,Cost(price after Tax),Befor Tax,125% Reference prices,Reserved price(指値),相場/Market price,委託番号,1,2,3,Sales commission,result(after tax),Profit / Loss,Sold,C-tag scan,Buyer,Memo
1,Fendi,C280806,,Brown Zucca canvas travel bag,,,,15015.0,,,18000,,,,,,,,,False,,,"Piping exposed, interior peeling"
2,Valentino,C253300,,Camouflage handbag with rockstud detailing,,,strap,27500.0,,,30000,,,20000.0,,,1540.0,20460.0,,False,,,Missing studs
3,Chanel,C271799,,Black checkered shoulder bag design,,,,179014.0,,,200000,,,,,,,,,False,,,"Corners rub, interior stain"
4,Fendi,C280715,,Purple suede shoulder handbag,,,,37389.0,,,45000,,,,,,,,,False,,,"stains, cracks"
5,Louis Vuitton,C264995,,Monogram Pochette Twin GM crossbody bag,,,,11330.0,,,20000,,,13000.0,,,1540.0,12760.000000000002,-1430.0,True,,,"corners rub, piping exposed"
6,Hermès,C229930,,Chic multi-strand silver tone necklace,,,,101970.0,,,120000,,,85000.0,,,2640.0,90860.00000000001,11110.0,True,,,
7,Fendi,C272473,,Zucca Canvas Shoulder Bag in Black Brown,,,,40788.0,,,50000,,,34000.0,,,1540.0,35860.0,,False,,,corners rub
8,Louis Vuitton,C281170,,Monogram Mini Speedy Hand Bag,,,,28325.0,,,45000,,,31000.0,,,1540.0,32560.0,-4235.0,True,,,"missing zipper pull, corners rub, interior stains"
9,Hermès,C279012,,Beige and brown Jige clutch bag,,,,24926.0,,,35000,,,16000.0,,,1540.0,16060.0,,False,,,"peeling, piping exposed, tear, stains"
10,Hermès,C279015,,Navy box calf leather clutch bag,,,,20394.0,,,32000,,,15000.0,,,1540.0,14960.0,,False,,,"corners rub, scratches, cracks"
11,Chanel,C278581,,Beige Caviar Petite Shopping Tote,,,,184679.0,,,200000,,,,,,,,,False,,,"corners rub, stains"
12,Prada,C280871,,Large Galleria Double Zip Tote Argilla,,,,38522.0,,,45000,,,34000.0,,,1540.0,35860.0,2662.0,True,,,broken side button
13,Fendi,C229797,,Beige Zucchino Canvas Baguette Bag,,,dustcover,43054.0,,,45000,,,45000.0,,,1540.0,47960.00000000001,-4906.0,True,,,strap separation
14,Fendi,C244941,,Gray Zucca Wool Shoulder Bag,,,,57630.0,,,65000,,,51000.0,,,2640.0,53460.00000000001,4170.0,True,,,hole
15,Chanel,C280836,,Pearl necklace with decorative clasp,,,"box, dustcover",87241.0,,,95000,,,65000.0,,,2640.0,68860.0,18381.0,True,,,tear
