Number,Brand Name,Ctag,Photo,Description,Grading,Ecoring Grading,備考(付属品）,Cost(price after Tax),Befor Tax,125% Reference prices,Reserved price(指値),相場/Market price,委託番号,1,2,3,Sales commission,result(after tax),Profit / Loss,Sold,C-tag scan,Buyer,Memo
1.0,Louis Vuitton,C261365,,"Montsouris MM, Monogram, Canvas",,,,45320.0,,,50000.0,,,37000.0,40000.0,,1540.0,42460.0,-2420.0,True,,,darkening
2.0,Louis Vuitton,C266745,,"Ipanema PM, Damier ebene, Canvas",,,,37389.0,,,35000.0,,,23000.0,18000.0,18000.0,1540.0,18260.0,,False,,,tear in interior
3.0,Louis Vuitton,C277982,,"Pochette dame MM, Monogram, Canvas",,,,20394.0,,,20000.0,,,18000.0,,,1540.0,18260.0,-2134.0,True,,,broken button
4.0,Louis Vuitton,C250927,,"Saleya PM, Damier azur, Canvas",,,,39600.0,,,40000.0,,,33000.0,,,1540.0,34760.0,-4840.0,True,,,"corner scuffed, interior stain"
5.0,Louis Vuitton,C266748,,"Sac Shopping, Monogram, canvas",,,,38522.0,,,40000.0,,,24000.0,20000.0,21000.0,1540.0,21560.000000000004,,False,,,"stain, crack on the strap"
6.0,Louis Vuitton,C266653,,"Montsouris MM, Monogram, Canvas",,,,55517.0,,,55000.0,,,44000.0,50000.0,,2640.0,52360.00000000001,-2717.0,True,,,leather stain
7.0,Louis Vuitton,C245382,,"Barkeley, Damier azur, Canvas",,,,90640.0,,,65000.0,,,36000.0,,,1540.0,38060.0,,False,,,"handle crack, corner scuffed"
8.0,Louis Vuitton,C266669,,"Papillon 30, Monogram, Canvas",,,,22660.0,,,20000.0,,,18000.0,,,1540.0,18260.0,-4400.0,True,,,broken zipper pull
9.0,Louis Vuitton,C234265,,"Berkeley, Damier azur",,,,67980.0,,,55000.0,,,33000.0,,24000.0,1540.0,24860.000000000004,,False,,,"crack, interior stain"
10.0,Louis Vuitton,C269024,,"Keepall bandouliere 55, Monogram, Canvas",,,,121231.0,,,120000.0,,,89000.0,,,2640.0,95260.00000000001,,False,,,cut damage
11.0,Chanel,C277823,,"Chain shoulder bag, Matelasse, Lambskin",,,"dustcover, box",165000.0,,,200000.0,,,,108000.0,107000.0,2640.0,115060.00000000001,,False,,,no seal
12.0,Chanel,C267393,,"Chain shoulder bag, Matelasse, Calfskin",,,,170500.0,,,180000.0,,,,96000.0,93000.0,2640.0,99660.00000000001,,False,,,B- repaired
13.0,Chanel,C145191,,"Chain shoulder bag, Matelasse, Leather, Paris limited",,,,243100.0,,,230000.0,,,166000.0,,125000.0,2640.0,134860.0,,False,,,Oxidation
14.0,Chanel,C162595,,"Chain shoulder bag, Textured leather",,,,407880.0,,,350000.0,,,,,,,,,False,,,B- B-
15.0,Chanel,C226242,,"Chain tote bag, Matelasse, Lambskin, Leather",,,,135960.0,,,130000.0,,,,66000.0,,2640.0,69960.0,,False,,,B-
16.0,Chanel,C245655,,"Chain shoulder bag, Matelasse, Lambskin",,,card,294580.0,,,290000.0,,,,178000.0,180000.0,2640.0,195360.00000000003,,False,,,powderly
17.0,Chanel,C254931,,"Zippy wallet, Deauville",,,"box, card",38522.0,,,40000.0,,,19000.0,19000.0,21000.0,1540.0,21560.000000000004,,False,,,repaired
18.0,Chanel,C282907,,"Zippy wallet, Caviar, Textured leather",,,,23324.0,,,25000.0,,,12000.0,16000.0,,1540.0,16060.0,4176.0,True,,,repaired
19.0,Louis Vuitton,C281573,,"Nolita, Damier ebene, Canvas",,,dustcovet,45320.0,,,45000.0,,,29000.0,21000.0,30000.0,1540.0,31460.0,-13420.0,True,,,interior BC
20.0,Louis Vuitton,C267326,,"Jeune fille PM, Monogram, Canvas",,,,24926.0,,,25000.0,,,17000.0,21000.0,,1540.0,21560.000000000004,-2926.0,True,,,"pocket peeling, sticky"
