Number,Brand Name,Ctag,Photo,Description,Grading,Ecoring Grading,備考(付属品）,Cost(price after Tax),Befor Tax,125% Reference prices,Reserved price(指値),相場/Market price,委託番号,1,2,3,Sales commission,result(after tax),Profit / Loss,Sold,C-tag scan,Buyer,Memo
1.0,Chrome Hearts,C284429,,"Jewelry, Silver",,,,60049,,,75000.0,,,,,,,,,False,,,
2.0,Hermès,C278473,,Earrings,,,box,14300,,,15000.0,,,13000.0,,,1540.0,12760.000000000002,-1540.0,True,,,B-
3.0,Chanel,C161070,,"Necklace, Rhinestone, Metal",,,,54912,,,60000.0,,,,21000.0,,1540.0,21560.000000000004,,False,,,
4.0,Chanel,C229230,,Earrings,,,,26059,,,30000.0,,,18000.0,,11000.0,1540.0,10560.000000000002,,False,,,broken and defferent parts
,Chanel,C136492,,"Box, paper",,,,50,,,,,,,,,,,,False,,,
5.0,Chanel,C166163,,"Earrings, Faux pearl, Gold plated metal",,,box,72600,,,70000.0,,,,,36000.0,1540.0,38060.0,,False,,,peeling
6.0,No brand,C260623,,"Watch, G-Shock, Stainless Steel",,,case box,8250,,,15000.0,,,4000.0,2000.0,4000.0,990.0,3410.0,,False,,,ライブセール⇒JPC
7.0,Chloe,C249725,,"Chain shoulder Bag, Leather",,,,11550,,,20000.0,,,20000.0,,,1540.0,20460.0,8910.0,True,,,"interior stains, corner scuffed, metal peeling"
8.0,Prada,C270640,,"Handbag, Nylon",,,,17280,,,30000.0,,,17000.0,,,1540.0,17160.0,-120.0,True,,,repaired interior
9.0,Prada,C249094,,"Tote bag, Cotton",,,"dustcover, strap",31724,,,45000.0,,,45000.0,,,1540.0,47960.00000000001,16236.0,True,,,smelly
10.0,Louis Vuitton,C252971,,"Cabas, Damier ebene, Damier challenge, Coated canvas and textured leather",,,"dustcover, strap",113300,,,120000.0,,,,,,,,,False,,,peeled paint
11.0,Yves Saint Laurent,C266619,,"Handbag, Leather",,,strap,24926,,,30000.0,,,16000.0,,11000.0,1540.0,10560.000000000002,,False,,,hole present
12.0,Christian Dior,C277166,,"Saddle bag, Lizard skin?",,,,196900,,,220000.0,,,183000.0,141000.0,142000.0,2640.0,153560.0,,False,,,
13.0,Burberry,C250780,,"Tote bag, Cotton, Nova check",,,,26400,,,35000.0,,,35000.0,,,1540.0,36960.0,10560.0,True,,,stain
14.0,Louis Vuitton,C271188,,"District PM, Monogram eclipse, Coated canvas",,,,36160,,,50000.0,,,31000.0,,,1540.0,32560.0,-3600.0,True,,,smelly
15.0,Louis Vuitton,C253614,,"Cabas Piano, Monogram, Canvas",,,,20394,,,45000.0,,,21000.0,,,1540.0,21560.000000000004,1166.0,True,,,"corner scuffed, darkening, peeling"
16.0,Louis Vuitton,C154574,,"Zippy wallet, Monogram reverse, Coated canvas",,,"box, dustcover",75504,,,80000.0,,,53000.0,44000.0,60000.0,2640.0,63360.0,-11704.0,True,,,smelly
17.0,Louis Vuitton,C267425,,"Tote bag, On the go, Giant monogram, Coated canvas",,,dustcover,240900,,,250000.0,,,209000.0,194000.0,,2640.0,210760.00000000003,,False,,,smelly
18.0,Louis Vuitton,C269738,,"Tote bag, Plastic",,,,44000,,,65000.0,,,48000.0,,,1540.0,51260.00000000001,7260.0,True,,,"corner scuffed, peeled handle"
19.0,Salvatore Ferragamo,C269226,,"Crossbody Bag, Leather",,,,11000,,,20000.0,,,,,1000.0,990.0,110.0,,False,,,クロコ型押し
20.0,Fendi,C269736,,"Shoulder Bag, Unborn Calf",,,,44000,,,55000.0,,,59000.0,,,2640.0,62260.00000000001,18260.0,True,,,
21.0,Chanel,C245182,,"Shoulder bag, Matelasse",,,,102830,,,100000.0,,,,,,,,,False,,,missing zipper pull
22.0,Christian Dior,C215887,,"Handbag, Lady Dior , Leather",,,"strap, charm, dustcover",172700,,,180000.0,,,,104000.0,,2640.0,111760.00000000001,,False,,,sticky
23.0,Celine,C284146,,"Tote bag, Macadam, Canvas",,,,12012,,,18000.0,,,,,4000.0,990.0,3410.0,,False,,,
24.0,Stella McCartney,C270242,,"Shoulder Bag, Cotton",,,,22000,,,35000.0,,,27000.0,,,1540.0,28160.000000000004,6160.0,True,,,
25.0,Stella McCartney,C270243,,"Shoulder Bag, Cotton",,,,23000,,,35000.0,,,18000.0,,11000.0,1540.0,10560.000000000002,,False,,,
26.0,Celine,C284143,,"Handbag, Macadam, Canvas",,,,12012,,,18000.0,,,12000.0,,7000.0,990.0,6710.000000000001,,False,,,
27.0,Chanel,C251533,,2way bag,,,"card, seal",135000,,,140000.0,,,108000.0,99000.0,100000.0,2640.0,107360.00000000001,,False,,,17~
28.0,Chanel,C278248,,"Chain shoulder bag, Matelasse, Cotton",,,,203940,,,200000.0,,,160000.0,,101000.0,2640.0,108460.00000000001,,False,,,no seal
29.0,Chanel,C277263,,"Chain shoulder bag, Matelasse, Cotton",,,card,286000,,,290000.0,,,,274000.0,,2640.0,298760.0,13200.0,True,,,クロコ
30.0,Chanel,C278251,,"Chain shoulder bag, Boy chanel, Velvet",,,,249260,,,250000.0,,,,,123000.0,2640.0,132660.0,,False,,,17~
31.0,Mark Cross,C266018,,"Shoulder bag, Leather",,,,5500,,,15000.0,,,,1000.0,1000.0,990.0,110.0,,False,,,
32.0,Prada,C252269,,"Scarf, Silk",,,,6325,,,10000.0,,,1000.0,1000.0,1000.0,990.0,110.0,,False,,,
33.0,Aquascutum,C252256,,"Scarf, Silk",,,,2300,,,10000.0,,,,,,,,,False,,,
34.0,Celine,C252320,,"Scarf, Silk",,,,2875,,,10000.0,,,3000.0,4000.0,,990.0,3410.0,975.0,True,,,
35.0,Salvatore Ferragamo,C252253,,"Scarf, Silk",,,,2300,,,10000.0,,,2000.0,,,990.0,1210.0,,False,,,stain
36.0,Chanel,C252319,,"Scarf, Silk",,,,16100,,,20000.0,,,17000.0,,,1540.0,17160.0,1060.0,True,,,
37.0,Chanel,C228780,,Earrings,,,,19000,,,30000.0,,,14000.0,,6000.0,990.0,5610.000000000001,,False,,,
38.0,Jimmy Choo,C285521,,"Zippy wallet, Star studs, Canvas",,,,1238,,,5000.0,,,1000.0,,3000.0,990.0,2310.0000000000005,1512.0,True,,,
39.0,Jimmy Choo,C285520,,"Zippy wallet, Star studs, Leather",,,,6325,,,9000.0,,,,,3000.0,990.0,2310.0000000000005,,False,,,
40.0,Celine,C244967,,"Tote bag, Macadam, Plastic",,,,18700,,,30000.0,,,17000.0,,,1540.0,17160.0,-1540.0,True,,,corner scuffed
41.0,Chanel,C243290,,"Chain shoulder bag, Matelasse",,,,280500,,,350000.0,,,,,185000.0,2640.0,200860.00000000003,,False,,,smelly
42.0,Fendi,C113673,,"2 way bag, Textured leather",,,,50600,,,65000.0,,,39000.0,,,1540.0,41360.0,-9240.0,True,,,BC
43.0,Hermès,C189141,,"Long wallet, Bearn, Textured leather",,,,28600,,,35000.0,,,,9000.0,9000.0,990.0,8910.0,,False,,,B-
44.0,Burberry,C251851,,"Tote bag, Cotton",,,pouch,36000,,,45000.0,,,34000.0,,,1540.0,35860.0,-140.0,True,,,gray item?
45.0,Tory Burch,C247825,,"Tote bag, Plastic",,,strap,16500,,,18000.0,,,,,,,,,False,,,handle peeling
46.0,Givenchy,C242724,,"Handbag, Leather",,,strap dustcover,27120,,,28000.0,,,19000.0,,,1540.0,19360.0,2580.0,True,,,B-
47.0,Prada,C264291,,"Key Case, Leather",,,,25740,,,30000.0,,,,9000.0,,990.0,8910.0,,False,,,
48.0,Balenciaga,C246114,,Handbag,,,,49852,,,60000.0,,,,24000.0,26000.0,1540.0,27060.000000000004,,False,,,
49.0,Chanel,C192995,,"Vanity bag, Coco mark, Varnished leather",,,"cadena, card, strap",100642,,,100000.0,,,,46000.0,,1540.0,49060.00000000001,,False,,,"peeling, powderly"
50.0,Hermès,C220539,,"Troca, Horizontal MM, Webline, Canvas",,,,18080,,,25000.0,,,12000.0,,7000.0,990.0,6710.000000000001,,False,,,corner scuffed
51.0,Fendi,C268215,,Clothing Zucca,,,,18360,,,25000.0,,,15000.0,,,1540.0,14960.0,-3400.0,True,,,
52.0,Fendi,C233438,,Scarf,,,,16500,,,23000.0,,,,12000.0,,1540.0,11660.000000000002,-4400.0,True,,,
53.0,Gucci,C270226,,"Gloves, Leather",,,,4042,,,5000.0,,,1000.0,,2000.0,990.0,1210.0,,False,,,python
54.0,Hermès,C191531,,"Beanie, Alpaca and polyamide",,,,16500,,,25000.0,,,,,2222.0,990.0,1454.2000000000003,,False,,,
55.0,Bottega Veneta,C237285,,"Hat, Textile",,,,5500,,,12000.0,,,6000.0,,,990.0,5610.000000000001,110.0,True,,,
56.0,Dolce & Gabbana,C253688,,Clothing,,,,23000,,,35000.0,,,,10000.0,,990.0,10010.0,,False,,,
57.0,Christian Dior,C261017,,"Hand bag, Lady Dior, Leather",,,"strap, card",211200,,,230000.0,,,160000.0,162000.0,170000.0,2640.0,184360.00000000003,,False,,,230000
58.0,Miu Miu,C227209,,"Clutch Bag, Leather",,,dustcover,11000,,,20000.0,,,14000.0,,,1540.0,13860.000000000002,2860.0,True,,,
59.0,Chanel,C265881,,Coin Case,,,dustcover,32857,,,45000.0,,,28000.0,,,1540.0,29260.000000000004,-3597.0,True,,,44000
60.0,Balenciaga,C263324,,"Shoulder Bag, Leather",,,,14300,,,20000.0,,,20000.0,,,1540.0,20460.0,6160.0,True,,,17000
