"
Number",Brand Name,Ctag,Photo,,Description,Grading,"Ecoring
Grading

",備考(付属品）,Cost(price after Tax),Befor Tax,125% Reference prices,Reserved price(指値),相場/Market price,委託番号,Retun check,1,2,3,Sales commission,result(after tax),Profit / Loss,Sold,C-tag scan,Buyer,Memo
1,Chanel,C228067,,キャビアスキン バニティ バニティバッグ,Black Caviar Leather Vanity Case,B,B,,"¥172,700","¥157,000","¥196,250","¥196,000",104000,2240005517440,TRUE,"¥125,000",,"2,640",134860,-37840,"-53,240",FALSE,C228067,,
2,Chanel,C266606,,キャビアスキン ワンショルダーバッグ,Red Caviar Drawstring Bucket Bag,B,B,,"¥135,960","¥123,600","¥154,500","¥155,000",95000,2240005517457,TRUE,,,990,-988.9,-136948.9,,FALSE,C266606,,
3,Chanel,C280901,,ラムスキン ダイアナ マトラッセ チェーン ショルダーバッグ,Vintage black quilted lambskin handbag,B,Ｂ,,"¥582,362","¥529,420","¥661,775","¥660,000",350000,2240005517464,FALSE,,"401,000",2640,438460,-143902,"-143,902",TRUE,C280901,,miss bying
4,Chanel,C231719,,ャネル マトラッセ25  ダブルフラップ ダブルチェーンバッグ ショルダーバッグ,Black Quilted Lambskin Double Flap Bag,B,B,,"¥283,250","¥257,500","¥321,875","¥330,000","372,160",2240005517471,FALSE,"¥294,000",,2640,320760,"37,510","37,510",TRUE,C231719,,
5,Chanel,C228419,,長財布 ラムスキン グリーン ボーイシャネル 28678683 ゴールド金具 B,"Quilted leather long wallet, turquoise",B,AB,,"¥54,384","¥49,440","¥61,800","¥65,000","54,440",2240005517488,FALSE,"¥57,000",,2640,60060,"5,676","5,676",TRUE,C228419,,paint
6,Chanel,C255060,,シャネル　リップチャーム　ストラップ,Lipstick Logo Phone Charm,AB,B,,"¥1,650","¥1,500","¥1,875","¥5,000",1500,2240005517495,FALSE,,"1,000",990,110,-1540,-440,TRUE,C255060,,"CHANEL's novelty items are sold only in Japan, so the profit is negative but sold"
7,Gucci,C309052,,Gucci ダブルG キルティング ブラック,Double G Quilted Black Long Wallet,B,AB,,"¥17,600","¥16,000","¥20,000","¥22,000",20000,2240005517501,FALSE,"¥27,500",,1540,28710,"11,110","11,110",TRUE,C309052,,
8,Gucci,C278876,,GGキャンバス　トートバッグ,GG Canvas Abbey Pocket Tote bag,B,B,,"¥10,450","¥9,500","¥11,875","¥13,000",,2240005517518,FALSE,"¥17,600",,1540,17820,"7,370","7,370",TRUE,C278876,,
9,Gucci,C308687,,GGキャンバス　トートバッグ,Gucci Brown GG Canvas Sukey Tote Bag,B,BC,,"¥22,000","¥20,000","¥25,000","¥24,000",,2240005517525,TRUE,"¥14,000","13,000","1,540",12760,-9240,"-10,340",FALSE,C308687,,
10,Chanel,C240001,,ニュートラベルライン ブラック ミニトート トートバッグ,"Handbag, Cotton",B,B,,"16,995","15,450","19,313","19,000",,2240005517532,TRUE,"11,000",,"1,540","10,560","-6,435","-11,385",FALSE,C240001,,トラベルライントート
11,Gucci,C222669,,GGキャンバス ウエストバッグ ショルダーバッグ,Black canvas shoulder bag with buckle,B,B,,"¥32,340","¥29,400","¥36,750","¥35,000",,2240005517549,TRUE,,"26,000","1,540",27060,-5280,"-16,280",FALSE,C222669,,
12,Gucci,C215401,,GGスプリーム グッチ ホースビット ２WAY ショルダーバッグ,GG Supreme Leather Handle Bag,B+,AB,,"¥132,000","¥120,000","¥150,000","¥160,000",,2240005517556,TRUE,"¥104,000",,2640,111760,-20240,"-20,240",FALSE,C215401,,
13,Prada,C247255,,プラダ ギャザー レザー 2WAYハンドバッグ ベージュ,Beige Gaufre-stitched leather handbag,B,B,,"¥45,045","¥40,950","¥51,188","¥50,000",,2240005517563,TRUE,"¥32,000","31,000","1,540",32560,-12485,"-19,085",FALSE,C247255,,
